DOI,Title,Creators
10.1257/rct.6724-1.0,Information Campaigns for Residential Energy Conservation,Mark Andor; Andreas Gerster
10.7910/dvn/wmvc4u,Replication Files for: The Long-Term Costs of Government Surveillance – Insights from Stasi Spying in East Germany,Andreas Lichter; Max Löffler; Sebastian Siegloch
10.7910/dvn/uup8cx,The Crowdsourced Replication Initiative Participant Survey,Nate Breznau; Eike Mark Rinke; Alexander Wuttke
10.7910/dvn/sm7lzk,Replication Data for: Das Potential offener Listen für die Wahl von Frauen zum Bundestag. Ergebnisse eines Survey-Experiments,Lukas Rudolph; Thomas Däubler; Jan Menzner
10.7910/dvn/wg9kvf,School Closures During the 1918 Pandemic,Peter Nencka; Ezra Karger; Kimmo Eriksson; Phillipp Ager; Melissia A. Thomasson
10.5281/zenodo.1174041,Improving Hypernymy Extraction with Distributional Semantic Classes,Alexander Panchenko; Dmitry Ustalov; Stefano Faralli; Simone Paolo Ponzetto; Chris Biemann
10.5281/zenodo.1318146,Rdf2Vec Dbpedia Uniform Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320148,KGloVe DBpedia uniform embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.1257/rct.6724,Information Campaigns for Residential Energy Conservation,Mark Andor; Andreas Gerster
10.5281/zenodo.7368634,Post-hypnotic suggestion improves confidence and speed of memory access with long-lasting effects,Barbara Schmidt; Justin Böhmer; Martin Schnürch; Sebastian Michelmann; Tobias Koch
10.5281/zenodo.6962676,Diversity-Driven Unit Test Generation (Data Set),Marcus Kessel; Colin Atkinson
10.5281/zenodo.4317959,Twenty-two Historical Encyclopedias Encoded in TEI: a New Resource for the Digital Humanities,Thora Hagen; Erik Ketzan; Fotis Jannidis; Andreas Witt
10.5281/zenodo.5913171,GeNeG: German News Knowledge Graph,Andreea Iana; Alexander Grote; Kaharina Ludwig; Mehwish Alam; Philipp Müller; Christof Weinhardt; Harald Sack; Heiko Paulheim
10.7910/dvn/cy7ywe,Replication Data for: The Wald Test of Common Factors in Spatial Model Specification Search Strategies,Sebastian Juhl
10.7910/dvn/ofcaae,"Replication Data for: ""Agenda Control and Timing of Bill Initiation: A Temporal Perspective on Coalition Governance in Parliamentary Democracies""",Thomas König; Nick Lin; Xiao Lu; Thiago Silva; Nikoleta Yordanova; Galina Zudenkova
10.7910/dvn/l3c3gf,"Supplemental materials for ""European public opinion: united in supporting Ukraine, divided on the future of NATO""",Felix Münchow; Matthias Mader; Catarina P. Thomson
10.7910/dvn/edtknw,Replication Data for: The Zweitstimme Model: A Dynamic Forecast of the 2021 German Federal Election,Marcel Neunhoeffer; Thomas Gschwend; Klara Müller; Simon Munzert; Lukas F. Stoetzer
10.7910/dvn/3wilxi,Replication Data for: Simulating party shares,Chris Hanretty; Denis Cohen
10.7910/dvn/najikb,Replication Data for: The Sensitivity of Spatial Regression Models to Network Misspecification,Sebastian Juhl
10.7910/dvn/kqjl5k,"Replication Data for: Value Conflicts Revisited: Muslims, Gender Equality and Gestures of Respect",Elisabeth Ivarsflaten; Marc Helbling; Paul M. Sniderman; Richard Traunmüller
10.7910/dvn/czljs6,Replication Data for Forecasting Bloc Support in German Federal Elections: A Political History Model,Stephen Quinlan; Dr Christian Schnaudt; Prof Michael S. Lewis-Beck
10.7910/dvn/6zyxml,"Replication Data for: A Replication of ""Representative Bureaucracy and the Willingness to Coproduce""",Martin Sievert
10.7910/dvn/gec2ls,Replication Data for: Eliciting Beliefs as Distributions in Online Surveys,Lucas Leemann; Richard Traunmueller; Lukas F. Stoetzer
10.7910/dvn/h6nxuh,"Replication Data for: 'Wealth of Two Nations: The U.S. Racial Wealth Gap, 1860-2020'",Ellora Derenoncourt; Chi Hyun Kim; Moritz Kuhn; Moritz Schularick
10.7910/dvn/prxhpm,Replication Data for: How to Deal With Reverse Causality Using Panel Data? Recommendations for Researchers Based on a Simulation Study,Lars Leszczensky; Tobias Wolbring
10.7910/dvn/jtksrw,Impacts of increasing community resilience through humanitarian aid in Pakistan,Alexandra Avdeenko; Markus Frölich
10.7910/dvn/rcva0x,"Replication Data for: Numbers, Selectivity and Rights: The Conditional Nature of Immigration Policy Preferences",Marc Helbling; Rahsaan Maxwell; Richard Traunmueller
10.7910/dvn/y5y6vd,Replication Data for: 'Have Europeans Grown Tired of Democracy?',Alexander Wuttke; Gavras; Harald Schoen
10.7910/dvn/t5lyws,Replication Data for: Temporary Disenfranchisement: Negative Side-Effects of Lowering the Voting Age,Arndt Leininger; Marie-Lou Sohnius; Thorsten Faas; Sigrid Roßteutscher; Armin Schäfer
10.7910/dvn/qzmpsn,Replication Data for: Learning at Home and Abroad: How Competition Conditions the Diffusion of Party Strategies,Sebastian Juhl; Laron Williams
10.7910/dvn/ycdjnt,Replication Data for: Divided We Unite: The Nature of Partyism and the Role of Coalition Partnership in Europe,Hyeonho Hahm; David Hilpert; Thomas König
10.1037/e633942013-636,When negative expectancies turn into negative performance: The role of ease of retrieval,Herbert Bless; Johannes Keller; Rainer Greifeneder
10.5281/zenodo.1174040,Improving Hypernymy Extraction With Distributional Semantic Classes,Alexander Panchenko; Dmitry Ustalov; Stefano Faralli; Simone Paolo Ponzetto; Chris Biemann
10.5281/zenodo.1067701,"Polidoc.net CODEBOOK: National and Regional Manifestos and other Political Documents Collected for the Research Projects ""Representation in Europe: Congruence between Preferences of Elites and Voters"" (REPCONG) and ""The Impact of EU Cohesion Policy on European Identification"" (COHESIFY)",Thomas Bräuninger; Marc Debus; Kenneth Benoit; Julian Bernauer; Polidoc.net Team
10.6084/m9.figshare.4742170,Evaluating the Quality of Survey and Administrative Data with Generalized Multitrait-Multimethod Models,Daniel L. Oberski; Antje Kirchner; Stephanie Eckman; Frauke Kreuter
10.5281/zenodo.2621578,Datasets for Watset: Local-Global Graph Clustering with Applications in Sense and Frame Induction,Dmitry Ustalov; Alexander Panchenko; Chris Biemann; Simone Paolo Ponzetto
10.5281/zenodo.4039570,Twenty-two Historical Encyclopedias Encoded in TEI: a New Resource for the Digital Humanities,Thora Hagen; Erik Ketzan; Fotis Jannidis; Andreas Witt
10.1257/rct.4406-1.0,The Effects of Decentralized and Video-based Extension on the Adoption of Integrated Soil Fertility Management – Experimental Evidence from Ethiopia,Denise Hörner
10.5281/zenodo.1320038,RDF2Vec DBpedia Page Rank embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1117228,RUSSE'2018: Human-Annotated Sense-Disambiguated Word Contexts for Russian,Dmitry Ustalov
10.5281/zenodo.1320042,Rdf2Vec Dbpedia Page Rank Split Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320032,KGloVe DBpedia inverse Page Rank split embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320167,Kglove Dbpedia Page Rank Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
10.5281/zenodo.1320013,Rdf2Vec Dbpedia Inverse Predicate Object Frequency Embeddings,Michael Cochez; Petar Ristoski; Simone Paulo Ponzetto; Heiko Paulheim
